"NU_NOTA_CN","","NU_NOTA_CH","","NU_NOTA_LC","","NU_NOTA_MT","","Q006","Q022","Q024","Q025","","","NO_MUNICIPIO_ESC"
"438","","554.5","","528.3","","396.9","","A","B","A","B","","","Valença do Piauí"
"453","","434.3","","445.3","","630.5","","F","E","A","B","","","Valença do Piauí"
"566","","525.8","","546.5","","645","","B","C","B","B","","","Valença do Piauí"
"591","","598.7","","600.2","","534.8","","B","E","C","B","","","Valença do Piauí"
"598","","600.9","","629.4","","731.6","","H","E","B","B","","","Valença do Piauí"
"370.5","","376","","329.1","","361.2","","A","C","A","B","","","Valença do Piauí"
"379.1","","355.9","","430.5","","377.2","","B","E","B","B","","","Valença do Piauí"
"382.1","","418.6","","479.6","","480.1","","B","D","A","B","","","Valença do Piauí"
"384.4","","413","","429.3","","354.6","","B","D","A","B","","","Valença do Piauí"
"399.2","","441.1","","417.3","","377.7","","B","B","A","B","","","Valença do Piauí"
"402.7","","531.1","","460.3","","540.9","","C","E","B","B","","","Valença do Piauí"
"406.4","","480.3","","429.6","","487.8","","A","B","A","A","","","Valença do Piauí"
"413.6","","546.6","","499.6","","576.3","","A","B","A","A","","","Valença do Piauí"
"421.3","","531.3","","495.3","","366.7","","A","C","A","B","","","Valença do Piauí"
"426.6","","522.1","","523.8","","508.9","","G","E","A","B","","","Valença do Piauí"
"426.8","","469.2","","466.2","","453.9","","C","C","A","B","","","Valença do Piauí"
"433.3","","572.7","","552.2","","560.3","","C","D","A","B","","","Valença do Piauí"
"446.6","","551.9","","520.3","","602","","B","C","A","B","","","Valença do Piauí"
"451.5","","510.4","","517.1","","460.3","","A","B","A","B","","","Valença do Piauí"
"452.2","","485.9","","465.8","","488.5","","B","D","A","B","","","Valença do Piauí"
"453.5","","424.1","","486.8","","525.4","","A","C","A","B","","","Valença do Piauí"
"466.7","","574.1","","506.7","","624.7","","I","E","B","B","","","Valença do Piauí"
"472.2","","518.1","","480.2","","508.2","","C","D","C","B","","","Valença do Piauí"
"474.1","","568.3","","532.7","","461.5","","C","D","B","B","","","Valença do Piauí"
"483.6","","525.6","","528.4","","611.2","","B","D","A","B","","","Valença do Piauí"
"487.4","","519.7","","551.7","","543.6","","B","C","A","B","","","Valença do Piauí"
"493.6","","611.1","","559","","551.8","","B","B","A","B","","","Valença do Piauí"
"495.8","","524.7","","525.3","","572.6","","G","C","B","B","","","Valença do Piauí"
"498.1","","417","","482.1","","389.4","","A","C","A","B","","","Valença do Piauí"
"498.4","","434.5","","489.6","","339.8","","C","C","A","B","","","Valença do Piauí"
"508.1","","516.8","","443.6","","634.2","","H","D","C","B","","","Valença do Piauí"
"538.5","","547.2","","549.8","","720.4","","E","E","D","B","","","Valença do Piauí"
"546.1","","534.4","","436.9","","549.9","","D","C","A","B","","","Valença do Piauí"
"551.2","","450","","498.2","","462.1","","B","C","A","B","","","Valença do Piauí"
"554.9","","586.9","","454.4","","670","","B","D","A","B","","","Valença do Piauí"
"560.6","","500.9","","564.6","","622.9","","B","D","B","B","","","Valença do Piauí"
"564.8","","455.1","","569.1","","556.3","","B","C","A","B","","","Valença do Piauí"
"584.7","","595.1","","585.4","","577.6","","C","E","B","B","","","Valença do Piauí"
"585.4","","550","","576.1","","679.7","","E","D","B","B","","","Valença do Piauí"
"","","","","","","","","B","B","A","B","","","Valença do Piauí"
"","","","","","","","","B","B","A","B","","","Valença do Piauí"
